Age	CO2	proxy
119.7	1084	paleosoils
119.7	1076	paleosoils
119.7	592	paleosoils
121	867	stomatas
121	837	stomatas
121	784	stomatas
121	573	stomatas
121	1060	stomatas
121	1060	stomatas
121	867	stomatas
121	593	stomatas
121	908	stomatas
121	782	stomatas
121	734	stomatas
121	769	stomatas
121.9	1051	liverworts
123	695	stomatas
124.7	630	stomatas
124.7	1008	stomatas
127.9	530	paleosoils
127.9	630	stomatas
127.9	592	stomatas
130.1	1150	paleosoils
130.1	112	paleosoils
130.2	550	stomatas
131.4	620	stomatas
133.0	650	stomatas
134.3	653	paleosoils
135.1	1448	stomatas
135.7	1711	paleosoils
137.9	241	paleosoils
139.3	982	liverworts
139.5	1442	stomatas
139.5	1228	stomatas
139.5	1151	stomatas
142	813	stomatas
142	736	stomatas
142.2	560	paleosoils
143.5	972	stomatas
143.5	345	paleosoils
148	736	stomatas
153.4	939	stomatas
154.7	1272	paleosoils
157.8	558	paleosoils
161.7	698	liverworts
168	1031	stomatas
168	926	stomatas
168.4	816	stomatas
168.8	879	stomatas
168.8	639	stomatas
168.8	1422	stomatas
168.8	1373	stomatas
168.8	1296	stomatas
168.8	1188	stomatas
168.8	1134	stomatas
169.5	637	liverworts
172.2	1894	stomatas
172.2	896	stomatas
172.2	768	paleosoils
182.4	1113	paleosoils
182.5	1050	stomatas
182.6	1550	stomatas
182.7	550	stomatas
182.8	950	stomatas
182.9	950	stomatas
183	600	stomatas
186.8	942	stomatas
187.7	919	liverworts
187.7	735	stomatas
187.7	1824	paleosoils
196.1	1204	paleosoils
199.0	1768	paleosoils
199.8	785	paleosoils
200.2	915	paleosoils
200.2	1528	paleosoils
200.3	864	stomatas
200.3	992	paleosoils
200.3	2716	paleosoils
200.3	2649	paleosoils
200.4	2117	paleosoils
200.4	2496	paleosoils
200.4	1496	paleosoils
200.4	3003	paleosoils
200.4	2882	paleosoils
200.5	5092	paleosoils
200.5	3131	paleosoils
200.5	4496	paleosoils
200.5	4125	paleosoils
200.6	2204	paleosoils
200.6	2545	paleosoils
200.6	3072	paleosoils
200.6	2317	paleosoils
200.6	3280	paleosoils
200.7	716	stomatas
200.7	2988	paleosoils
200.7	3455	paleosoils
200.7	2811	paleosoils
200.7	3019	paleosoils
200.7	2727	paleosoils
200.7	3574	paleosoils
200.8	4518	paleosoils
200.8	3530	paleosoils
200.8	4391	paleosoils
200.8	5473	paleosoils
200.8	2980	paleosoils
200.8	2249	paleosoils
200.9	5273	paleosoils
200.9	4941	paleosoils
200.9	1949	paleosoils
201.0	2356	paleosoils
201.1	1320	stomatas
201.1	1140	stomatas
201.1	2792	stomatas
201.1	1469	stomatas
201.1	3708	paleosoils
201.1	2642	paleosoils
201.2	3460	paleosoils
201.2	3074	paleosoils
201.2	3014	paleosoils
201.2	3657	paleosoils
201.2	4015	paleosoils
201.2	4050	paleosoils
201.2	4070	paleosoils
201.2	4234	paleosoils
201.3	3453	paleosoils
201.3	5186	paleosoils
201.3	3577	paleosoils
201.3	1535	stomatas
201.3	2152	stomatas
201.3	1604	stomatas
201.4	3584	paleosoils
201.5	4228	paleosoils
201.5	4434	paleosoils
201.5	1065	paleosoils
201.6	702	stomatas
201.6	1445	stomatas
201.6	1092	stomatas
201.6	1195	stomatas
201.6	1236	stomatas
201.6	1113	stomatas
201.6	1761	stomatas
201.6	1600	stomatas
201.6	1459	stomatas
201.6	881	stomatas
201.6	1206	stomatas
201.6	1122	stomatas
201.7	1787	paleosoils
201.8	2242	paleosoils
201.9	2253	paleosoils
202.1	2263	paleosoils
202.2	1597	paleosoils
202.5	2419	paleosoils
203.0	2231	paleosoils
203.1	1947	paleosoils
203.2	908	stomatas
203.6	1532	paleosoils
203.7	2200	stomatas
203.7	2782	paleosoils
203.9	1475	paleosoils
205	2065	paleosoils
205.4	758	stomatas
