"","ef","coarse","neglogl","deltaneglogl","AIC","deltaAIC"
"93",0.2,15,268.858565472119,31.9955512157027,569.717130944239,13.3990033604776
"94",0.3,15,268.841386012117,31.9783717557,569.682772024234,13.3646444404724
"95",0.4,15,268.82429595363,31.9612816972135,569.648591907261,13.3304643234992
"96",0.5,15,268.808006518243,31.9449922618267,569.616013036487,13.2978854527256
"97",0.6,15,268.793211268379,31.9301970119619,569.586422536757,13.268294952996
"98",0.7,15,268.780556883847,31.9175426274302,569.561113767694,13.2429861839328
"99",0.8,15,268.770274142011,31.9072598855939,569.540548284021,13.22242070026
"100",0.9,15,268.759664747134,31.8966504907171,569.519329494268,13.2012019105066
"101",0,20,268.325603357784,31.4625891013671,578.651206715568,22.3330791318066
"102",0.1,20,268.300985688158,31.4379714317408,578.601971376315,22.2838437925539
"103",0.2,20,268.274800441936,31.4117861855194,578.549600883872,22.2314733001111
"104",0.3,20,268.245469425085,31.3824551686686,578.490938850171,22.1728112664094
"105",0.4,20,268.209764244038,31.3467499876207,578.419528488075,22.1014009043138
"106",0.5,20,268.167488703489,31.3044744470719,578.334977406977,22.0168498232161
"107",0.6,20,268.113543095786,31.2505288393689,578.227086191572,21.9089586078102
"108",0.7,20,268.045422962851,31.182408706434,578.090845925702,21.7727183419404
"109",0.8,20,267.951448876144,31.0884346197269,577.902897752287,21.584770168526
"110",0.9,20,267.808431426355,30.9454171699382,577.61686285271,21.2987352689487
"111",0,35,261.059251298608,24.1962370421907,594.118502597215,37.8003750134537
"112",0.1,35,261.039358138449,24.176343882032,594.078716276898,37.7605886931362
"113",0.2,35,261.055236304852,24.1922220484356,594.110472609705,37.7923450259435
"114",0.3,35,261.058508472333,24.1954942159159,594.117016944665,37.798889360904
"115",0.4,35,261.079212015455,24.2161977590378,594.158424030909,37.8402964471478
"116",0.5,35,261.106211590818,24.2431973344013,594.212423181636,37.8942955978749
"117",0.6,35,261.100174530737,24.2371602743203,594.200349061474,37.8822214777128
"118",0.7,35,261.146843017579,24.2838287611622,594.293686035158,37.9755584513968
"119",0.8,35,261.215336820846,24.3523225644294,594.430673641692,38.112546057931
"120",0.9,35,261.241903943328,24.3788896869114,594.483807886656,38.165680302895
"121",0,50,252.277832734835,15.4148184784186,606.555665469671,50.2375378859094
"122",0.1,50,252.191332807041,15.3283185506245,606.382665614082,50.0645380303212
"123",0.2,50,252.256647993326,15.3936337369088,606.513295986651,50.1951684028899
"124",0.3,50,252.162767952553,15.2997536961358,606.325535905105,50.0074083213439
"125",0.4,50,252.285074065865,15.4220598094486,606.570148131731,50.2520205479694
"126",0.5,50,252.286429413869,15.4234151574518,606.572858827737,50.2547312439759
"127",0.6,50,252.168581409485,15.3055671530686,606.337162818971,50.0190352352095
"128",0.7,50,252.180884732894,15.3178704764768,606.361769465787,50.0436418820259
"129",0.8,50,252.153794419069,15.2907801626521,606.307588838138,49.9894612543766
"130",0.9,50,252.023393262748,15.1603790063317,606.046786525497,49.7286589417356
"131",0,100,237.320545190193,0.457530933776184,676.641090380386,120.322962796625
"132",0.1,100,237.634944671091,0.771930414674159,677.269889342182,120.951761758421
"133",0.2,100,237.387291299605,0.524277043188363,676.77458259921,120.456455015449
"134",0.3,100,238.184079516709,1.32106526029224,678.368159033418,122.050031449657
"135",0.4,100,237.029865006011,0.166850749594545,676.059730012023,119.741602428261
"136",0.5,100,236.863014256417,0,675.726028512834,119.407900929072
"137",0.6,100,238.5121631828,1.64914892638339,679.0243263656,122.706198781839
"138",0.7,100,237.271198851597,0.408184595179733,676.542397703193,120.224270119432
"139",0.8,100,238.002404665477,1.13939040906064,678.004809330955,121.686681747194
"140",0.9,100,239.354852151225,2.49183789480784,680.709704302449,124.391576718688
